ID,CATEGORY_A,CATEGORY_B,NUMERIC_1,NUMERIC_2,NUMERIC_3,LABEL
154,beta,high,53.16,64.04,243,0
155,alpha,medium,55.52,45.33,479,0
156,beta,high,31.39,19.09,409,1
157,alpha,low,54.83,70.58,166,0
158,alpha,medium,46.46,19.97,243,1
159,alpha,high,63.13,33.88,48,1
160,alpha,high,41.45,84.05,215,1
161,alpha,medium,71.91,76.36,206,1
162,alpha,low,43.89,44.27,356,1
163,beta,low,48.04,82.17,16,1
164,beta,low,27.88,32.46,356,0
165,beta,low,55.0,30.81,495,0
166,alpha,high,42.93,95.67,433,1
167,alpha,low,25.04,89.99,470,1
168,alpha,medium,53.4,90.79,407,1
169,beta,low,50.39,91.4,148,0
170,alpha,low,49.5,62.59,86,0
171,alpha,low,76.83,2.47,158,0
172,beta,low,28.56,11.79,126,0
173,alpha,high,73.0,37.36,280,1
174,beta,medium,75.13,15.61,129,0
175,alpha,high,10.53,49.29,253,0
176,alpha,low,40.42,90.88,410,1
177,alpha,low,63.7,17.18,225,1
178,beta,low,44.92,64.5,375,0
179,beta,medium,17.23,72.25,130,0
180,alpha,high,44.66,24.99,450,1
181,alpha,medium,64.34,17.72,116,0
182,beta,low,75.04,9.05,107,1
183,alpha,high,43.93,26.91,398,0
184,beta,low,76.05,8.44,325,0
185,beta,high,67.19,51.82,458,1
186,beta,low,35.7,70.47,27,0
187,beta,high,61.22,54.62,109,0
188,alpha,medium,62.4,35.18,381,0
189,beta,medium,44.87,62.12,317,0
190,alpha,low,45.38,75.15,254,0
191,alpha,high,57.22,45.17,31,1
192,alpha,low,63.44,40.57,240,1
193,alpha,low,44.34,61.53,141,0
194,alpha,medium,65.29,40.84,400,1
195,beta,low,70.3,49.71,160,1
196,beta,medium,34.69,25.28,100,0
197,alpha,high,57.65,13.41,187,1
198,alpha,medium,47.63,95.68,371,1
199,beta,high,37.68,97.62,361,1
200,alpha,medium,62.28,28.61,184,1
201,beta,medium,25.31,22.48,476,0
202,beta,medium,47.84,43.66,497,1
203,alpha,low,93.9,43.1,455,1
204,alpha,high,37.8,69.78,287,1
205,alpha,low,54.37,80.26,388,0
206,beta,medium,22.72,91.86,286,0
207,alpha,low,36.9,32.06,394,0
208,alpha,medium,62.3,57.04,369,0
209,beta,low,58.3,66.48,350,1
210,alpha,low,36.93,25.11,473,1
211,alpha,low,28.05,60.05,165,0
212,beta,medium,71.39,1.15,213,1
213,beta,high,56.47,23.36,309,1
214,beta,high,46.58,27.15,489,0
215,beta,high,47.03,59.64,5,0
216,alpha,medium,34.62,19.22,30,1
217,beta,high,25.62,98.78,389,1
218,beta,medium,64.07,43.55,48,0
219,alpha,low,60.89,53.46,290,1
220,alpha,medium,48.47,60.74,449,0
221,beta,medium,27.64,83.77,26,0
222,beta,low,42.43,75.14,178,1
223,alpha,low,48.04,55.42,262,1
224,alpha,high,49.95,51.13,296,1
225,beta,high,61.27,36.48,367,1
226,alpha,medium,51.01,12.92,451,1
227,alpha,medium,86.05,19.11,76,1
228,alpha,high,51.25,13.25,9,1
229,beta,high,44.74,88.55,394,1
230,alpha,medium,50.9,14.18,371,0
231,beta,high,32.87,14.16,396,1
232,alpha,medium,58.43,1.38,77,0
233,beta,high,54.0,80.6,297,1
234,beta,high,53.88,4.02,415,0
235,alpha,medium,57.48,65.36,107,0
236,beta,high,36.98,47.5,381,0
237,alpha,high,53.39,40.44,371,1
238,beta,medium,48.66,81.43,247,0
239,beta,medium,40.4,7.74,351,0
240,alpha,low,44.84,28.78,86,0
241,alpha,low,39.43,22.86,34,1
242,beta,high,71.91,26.98,418,1
243,alpha,low,66.22,29.48,260,1
244,beta,high,47.15,66.38,56,1
245,beta,low,27.73,61.72,422,1
246,beta,high,49.81,58.92,383,0
247,alpha,medium,36.63,91.37,464,1
248,beta,high,43.35,64.17,282,1
249,alpha,low,54.73,88.4,12,1
250,alpha,medium,48.49,77.44,352,1
251,beta,high,58.31,5.77,5,1
252,alpha,high,42.51,23.0,71,1
253,alpha,medium,42.95,29.91,107,0
254,alpha,high,59.4,59.71,264,1
255,beta,medium,18.02,14.91,337,1
256,beta,low,97.62,13.77,289,0
257,beta,low,44.35,19.31,45,0
258,alpha,high,42.69,32.58,151,1
259,alpha,high,25.3,98.81,69,0
260,alpha,low,48.23,90.71,444,1
261,alpha,medium,48.66,43.59,462,1
262,beta,low,38.66,63.93,267,1
263,beta,medium,58.58,15.34,76,1
264,beta,low,42.28,12.46,222,0
265,alpha,high,59.16,5.84,32,0
266,alpha,high,56.3,88.94,139,0
267,alpha,low,48.73,29.89,223,0
268,alpha,medium,26.58,38.62,80,1
269,alpha,medium,53.14,43.62,421,1
270,beta,medium,40.48,76.36,412,0
271,alpha,low,77.13,10.97,70,0
272,beta,medium,46.13,82.73,195,1
273,alpha,high,56.37,71.85,382,1
274,alpha,medium,45.95,44.85,167,1
275,alpha,high,41.81,17.9,109,1
276,beta,medium,33.26,95.62,96,1
277,alpha,medium,36.88,16.26,380,1
278,alpha,medium,46.55,52.8,480,1
279,alpha,low,55.05,58.58,203,1
280,alpha,medium,53.29,4.7,307,0
281,beta,medium,66.97,49.94,152,1
282,beta,medium,42.55,40.97,80,1
283,beta,low,54.39,60.08,323,1
284,alpha,medium,45.77,85.13,109,0
285,alpha,medium,60.96,75.5,139,1
286,beta,high,50.59,22.89,255,0
287,alpha,low,53.92,39.18,127,1
288,alpha,medium,43.51,93.75,361,1
289,beta,high,58.77,22.86,296,1
290,alpha,low,62.0,81.92,457,1
291,beta,high,57.96,4.31,147,0
292,beta,medium,37.13,72.81,439,0
293,alpha,medium,32.28,98.57,388,0
294,beta,high,49.31,35.65,464,0
295,beta,high,43.97,37.42,233,0
296,alpha,medium,29.33,82.13,429,1
297,alpha,high,48.81,83.1,59,0
298,alpha,low,56.14,37.18,95,1
299,beta,medium,36.42,50.56,400,1
300,alpha,medium,54.11,39.93,330,1
301,alpha,medium,40.38,5.27,443,0
302,alpha,medium,53.93,72.75,359,1
303,alpha,medium,41.93,13.18,89,1
304,alpha,high,46.83,42.28,311,1
305,alpha,low,42.58,64.84,260,1
306,beta,high,17.02,12.85,130,1
307,alpha,low,80.93,70.78,148,1
308,alpha,low,27.62,53.83,126,1
309,alpha,medium,68.95,94.7,302,1
310,beta,low,58.36,51.98,387,0
311,alpha,high,42.15,83.15,374,0
312,beta,low,36.78,77.84,287,0
313,beta,medium,35.11,91.53,168,0
314,alpha,low,59.92,4.67,360,1
315,beta,high,41.24,12.06,404,1
316,alpha,low,52.79,43.71,33,1
317,alpha,low,49.21,77.79,387,0
318,beta,medium,57.77,90.39,79,1
319,beta,medium,60.56,17.6,79,0
320,beta,high,72.33,99.98,65,0
321,beta,high,52.31,65.26,375,1
322,alpha,low,54.28,56.36,21,1
323,beta,low,40.8,31.01,134,0
324,beta,low,37.63,34.39,229,0
325,alpha,high,40.41,90.43,364,0
326,alpha,high,39.33,79.39,314,1
327,beta,high,44.97,61.36,320,1
328,alpha,low,50.03,25.23,399,1
329,beta,medium,68.48,94.61,26,1
330,alpha,medium,36.98,62.1,190,1
331,alpha,medium,45.74,70.82,268,1
332,beta,low,55.87,41.59,370,0
333,alpha,medium,76.54,21.14,236,1
334,alpha,high,43.99,94.3,435,1
335,beta,medium,60.42,97.93,291,1
336,beta,medium,62.37,44.13,145,0
337,beta,high,49.56,16.75,288,1
338,alpha,low,73.86,19.9,329,1
339,beta,high,40.83,34.24,424,1
340,alpha,low,72.39,12.49,411,1
341,beta,medium,51.37,60.89,147,1
342,alpha,medium,38.25,65.39,224,1
343,beta,medium,56.95,51.83,261,1
344,beta,medium,18.34,15.02,142,0
345,alpha,medium,73.02,86.06,469,1
346,alpha,medium,31.05,71.76,469,0
347,alpha,low,-1.92,82.95,434,0
348,alpha,high,54.21,85.29,446,0
349,beta,high,30.34,15.61,486,0
350,beta,high,65.2,66.26,97,0
351,beta,high,22.28,17.24,196,0
352,alpha,low,32.55,61.14,240,1
353,beta,high,64.52,43.41,93,1
354,beta,low,50.18,5.95,1,0
355,beta,low,72.64,47.92,129,1
356,beta,medium,59.94,57.24,62,1
357,alpha,high,54.59,40.36,142,1
358,beta,low,66.73,82.52,296,0
359,beta,low,32.77,13.12,174,0
360,beta,low,24.72,81.75,38,0
361,beta,high,49.75,53.81,298,1
362,beta,high,53.65,36.15,44,1
363,alpha,low,47.21,75.42,170,0
364,alpha,high,45.7,57.8,185,0
365,beta,low,50.11,33.85,93,1
366,beta,low,86.59,68.22,370,1
367,beta,high,69.84,47.45,70,1
368,alpha,low,45.26,87.43,183,1
369,beta,low,21.76,5.38,252,0
370,alpha,high,38.2,99.55,362,1
371,beta,low,61.78,45.14,18,0
372,beta,medium,44.65,36.7,176,1
373,beta,high,35.02,57.87,360,0
374,alpha,low,28.9,69.59,169,1
375,beta,medium,45.43,86.82,315,1
376,alpha,high,49.02,69.75,97,1
377,beta,low,67.31,85.61,64,1
378,beta,medium,66.16,33.17,494,1
379,beta,high,52.34,53.49,338,1
380,alpha,low,68.93,81.21,475,1
381,beta,low,10.92,56.97,393,1
382,alpha,low,55.81,84.52,407,1
383,beta,high,48.31,8.52,171,0
384,beta,low,41.01,65.12,176,1
385,alpha,high,79.06,55.07,163,1
386,beta,low,50.02,14.54,204,0
387,beta,medium,22.75,96.2,445,0
388,beta,medium,38.5,94.87,117,0
389,alpha,high,64.64,82.46,494,1
390,alpha,high,52.12,66.57,401,0
391,alpha,medium,62.41,8.9,211,0
392,alpha,medium,25.72,4.01,189,0
393,alpha,low,34.19,87.5,492,0
394,alpha,medium,49.3,69.91,354,1
395,beta,high,46.38,8.74,40,1
396,alpha,high,74.43,49.7,356,1
397,alpha,high,56.07,97.77,145,1
398,alpha,low,55.48,6.74,123,1
399,beta,low,50.69,22.93,303,1
400,alpha,medium,37.18,66.54,47,1
401,alpha,medium,17.01,72.38,49,0
402,beta,high,38.1,37.13,335,0
403,alpha,high,52.53,34.01,21,0
404,alpha,medium,26.58,87.47,143,1
405,alpha,medium,62.77,59.19,150,1
406,alpha,medium,62.83,60.99,255,1
407,beta,medium,61.45,0.44,286,0
408,alpha,high,42.71,64.07,85,0
409,alpha,high,32.39,73.51,23,1
410,alpha,medium,69.17,31.67,387,0
411,alpha,low,46.37,62.01,487,1
412,alpha,high,66.73,70.96,114,1
413,alpha,high,68.28,69.77,406,1
414,alpha,high,43.43,22.74,353,0
415,beta,high,47.64,49.76,451,0
416,beta,low,67.76,49.03,461,0
417,beta,medium,45.35,46.76,136,0
418,beta,low,54.83,68.7,123,1
419,alpha,low,40.82,39.56,7,1
420,alpha,low,36.33,70.27,429,0
421,alpha,high,57.87,73.94,494,1
422,alpha,medium,46.68,76.43,447,0
423,beta,medium,25.62,80.67,70,1
424,alpha,medium,72.11,52.27,440,1
425,beta,high,47.85,68.13,122,0
426,alpha,medium,31.54,59.26,283,0
427,alpha,high,47.9,52.36,68,0
428,beta,medium,39.45,25.83,242,1
429,beta,low,46.29,61.0,73,1
430,beta,medium,64.58,8.22,410,1
431,beta,high,73.75,15.22,255,0
432,alpha,low,52.73,71.95,198,1
433,alpha,medium,40.95,53.93,157,1
434,alpha,low,44.38,58.59,426,1
435,alpha,low,52.07,22.01,499,1
436,beta,low,53.19,40.16,127,1
437,beta,low,45.66,61.88,277,0
438,alpha,medium,64.53,22.49,467,0
439,alpha,low,44.19,12.65,11,1
440,beta,low,58.45,75.3,109,1
441,beta,low,54.47,68.06,403,1
442,alpha,medium,100.39,30.51,280,1
443,beta,high,54.75,37.6,422,0
444,alpha,medium,48.83,80.2,454,1
445,alpha,high,52.63,10.1,316,0
446,beta,high,61.5,38.9,448,1
447,beta,medium,55.81,68.39,349,1
448,beta,high,51.33,69.83,239,0
449,beta,low,37.72,59.59,20,0
450,alpha,medium,49.74,87.1,467,1
451,beta,low,53.12,50.15,89,0
452,beta,medium,51.85,61.67,283,0
453,alpha,high,50.46,5.61,141,0
454,alpha,medium,48.36,35.3,227,1
455,beta,high,50.36,25.76,126,1
456,alpha,medium,53.12,73.61,459,1
457,beta,low,23.39,49.32,39,0
458,alpha,low,30.15,14.26,45,0
459,beta,medium,56.32,11.05,357,1
460,alpha,high,48.3,64.42,28,0
461,alpha,low,60.51,0.52,355,0
462,beta,low,51.32,21.45,180,0
463,alpha,medium,48.31,65.33,240,1
464,beta,medium,44.85,63.82,491,1
465,alpha,high,35.63,58.99,269,1
466,beta,high,40.87,4.45,87,0
467,beta,high,65.57,9.64,253,1
468,beta,high,43.88,36.94,327,1
469,alpha,high,59.2,25.27,341,0
470,beta,medium,70.83,24.07,393,0
471,alpha,low,84.87,36.24,264,1
472,beta,low,18.53,0.99,347,1
473,alpha,medium,81.26,19.65,21,1
474,alpha,high,46.6,82.39,25,1
475,beta,high,36.37,31.89,123,1
476,beta,medium,62.74,52.77,40,0
477,beta,high,51.21,8.86,299,0
478,beta,high,37.13,13.73,294,0
479,alpha,medium,65.72,46.94,273,1
480,beta,medium,58.23,5.32,201,0
481,alpha,medium,58.5,35.37,51,0
482,beta,high,76.39,67.66,89,1
483,alpha,medium,66.03,80.82,58,1
484,beta,medium,57.91,70.42,356,1
485,alpha,high,45.51,45.96,219,1
486,alpha,medium,61.12,46.31,90,1
487,beta,low,49.64,4.6,447,0
488,alpha,high,74.5,24.24,448,0
489,beta,low,20.89,44.58,477,1
490,alpha,low,26.12,31.38,366,0
491,alpha,high,52.17,47.1,367,1
492,beta,low,48.97,13.4,116,0
493,beta,medium,47.62,44.26,480,1
494,alpha,low,43.09,76.92,33,1
495,alpha,high,80.39,64.94,382,1
496,alpha,medium,54.27,79.28,131,1
497,alpha,high,46.81,68.41,101,1
498,alpha,low,37.15,29.31,212,0
499,beta,low,56.62,41.87,423,0
500,alpha,medium,53.6,6.57,15,0
501,beta,medium,49.44,64.96,264,0
502,beta,medium,47.14,1.72,171,0
503,beta,low,76.01,38.38,283,1
504,beta,high,55.75,83.75,483,1
505,beta,low,47.85,0.83,315,1
506,alpha,high,51.19,56.63,398,1
507,beta,low,47.5,78.61,265,1
508,beta,high,67.6,76.69,32,1
509,beta,high,49.02,48.81,29,1
510,beta,high,56.44,12.07,491,0
511,alpha,high,46.84,79.89,23,0
512,alpha,high,63.68,8.36,36,1
513,beta,medium,9.29,98.02,91,0
514,beta,medium,70.46,40.69,449,1
515,beta,medium,32.21,15.46,192,1
516,alpha,low,48.61,32.36,483,0
517,alpha,medium,77.2,95.27,71,1
518,beta,high,11.88,13.07,95,0
519,alpha,medium,45.86,0.16,393,0
520,beta,high,68.11,56.4,15,1
521,alpha,low,52.32,96.01,86,1
522,beta,medium,64.13,26.57,124,1
523,alpha,low,54.2,1.13,404,1
524,alpha,medium,70.39,97.95,349,1
525,alpha,high,71.69,65.57,271,1
526,alpha,low,44.89,92.63,488,1
527,alpha,high,46.87,18.77,466,1
528,alpha,medium,21.79,80.53,412,0
529,beta,high,49.32,95.4,366,1
530,alpha,low,51.96,90.11,441,0
531,alpha,low,45.52,62.25,331,1
532,alpha,high,49.39,26.1,181,1
533,beta,medium,49.13,58.92,57,0
534,alpha,high,48.84,6.89,14,1
535,beta,low,34.67,38.69,457,1
536,beta,low,31.39,52.95,456,0
537,alpha,low,47.21,40.18,14,1
538,beta,high,54.13,31.33,338,0
539,beta,low,25.76,36.84,259,1
540,alpha,high,49.05,92.71,160,1
541,alpha,high,55.84,85.24,30,1
542,beta,low,58.71,31.41,372,1
543,beta,high,63.54,0.46,357,0
544,alpha,low,39.57,60.95,316,0
545,beta,high,45.77,51.66,66,0
546,alpha,low,46.16,32.48,9,1
547,alpha,medium,81.6,36.09,105,1
548,beta,low,31.21,16.22,401,0
549,beta,medium,45.48,65.46,389,1
550,alpha,high,64.69,77.53,145,1
551,beta,low,13.65,2.27,247,0
552,beta,high,49.76,22.67,18,0
553,alpha,low,34.54,11.78,153,0
554,alpha,high,68.54,42.29,318,1
555,alpha,medium,69.13,91.55,432,1
556,alpha,low,6.34,25.81,78,0
557,alpha,low,42.43,64.23,460,1
558,beta,medium,57.19,10.76,215,1
559,alpha,medium,69.61,90.27,162,1
560,alpha,high,43.54,86.45,359,1
561,alpha,low,56.82,48.34,317,1
562,beta,high,90.01,49.51,396,1
563,beta,low,55.37,62.04,482,1
564,alpha,medium,22.94,33.24,494,0
565,alpha,high,64.19,50.75,415,1
566,alpha,low,21.2,22.16,11,1
567,alpha,high,46.88,34.0,494,0
568,alpha,high,69.64,64.43,409,1
569,alpha,medium,81.45,64.77,241,1
570,alpha,medium,61.97,9.74,98,1
571,beta,high,33.64,10.54,71,1
572,alpha,high,66.04,30.76,440,0
573,beta,high,49.22,17.25,432,1
574,alpha,high,43.49,28.25,392,1
575,alpha,low,36.38,68.73,305,1
576,alpha,low,56.54,78.29,444,1
577,alpha,high,46.64,78.17,476,1
578,beta,low,77.28,56.43,219,1
579,beta,high,83.16,87.77,90,1
580,beta,high,47.07,76.77,65,0
581,beta,high,41.21,2.54,85,1
582,alpha,medium,59.47,97.83,46,1
583,beta,high,43.39,43.6,332,0
584,beta,high,61.13,45.16,178,1
585,beta,low,49.05,86.74,430,1
586,beta,medium,28.56,16.23,275,0
587,alpha,low,64.02,73.41,154,0
588,beta,high,25.81,53.79,454,0
589,alpha,medium,73.36,30.59,80,1
590,beta,low,31.01,16.44,108,0
591,beta,low,35.71,43.52,18,0
592,alpha,low,67.37,8.25,79,1
593,beta,medium,36.87,74.92,485,0
594,alpha,high,53.5,40.77,364,1
595,beta,low,50.98,71.65,151,0
596,beta,low,57.93,85.36,273,1
597,alpha,low,67.32,4.13,176,0
598,alpha,low,45.9,96.73,327,1
599,alpha,high,21.03,90.33,358,1
600,alpha,medium,28.85,52.26,498,0
601,alpha,low,40.55,4.39,47,1
602,alpha,low,62.84,48.47,284,1
603,alpha,high,45.2,10.2,86,0
604,beta,medium,24.67,64.62,381,0
605,beta,medium,40.49,72.47,170,0
606,beta,low,49.87,33.37,177,0
607,alpha,high,46.54,30.85,168,1
608,alpha,medium,40.8,43.79,206,0
609,alpha,medium,45.84,17.88,274,1
610,alpha,high,28.54,65.81,341,1
611,alpha,medium,46.08,43.64,138,1
612,beta,low,23.81,61.91,207,0
613,alpha,medium,55.84,38.87,267,1
614,alpha,high,46.72,69.28,328,0
615,beta,low,65.54,23.5,476,1
616,beta,high,48.13,59.29,431,1
617,alpha,high,64.12,14.39,312,1
618,alpha,low,38.71,97.09,416,1
619,alpha,medium,47.15,45.03,17,0
620,beta,high,54.78,29.97,499,1
621,alpha,high,27.2,34.65,207,1
622,alpha,low,24.71,26.05,234,0
623,beta,high,78.41,35.38,456,0
624,beta,medium,47.76,88.99,413,0
625,beta,low,36.97,73.58,274,0
626,alpha,high,77.18,67.48,404,0
627,beta,high,44.43,99.63,317,1
628,alpha,high,45.43,43.94,17,1
629,alpha,high,55.79,44.52,124,0
630,beta,medium,37.9,36.95,44,1
631,beta,medium,39.04,13.13,483,0
632,alpha,high,25.57,41.64,27,1
633,beta,low,66.56,88.19,405,1
634,beta,high,59.02,91.6,183,1
635,beta,low,39.73,97.44,361,1
636,beta,medium,42.62,99.88,450,0
637,beta,low,23.5,20.58,250,0
638,beta,low,24.52,74.2,376,0
639,beta,medium,77.05,88.42,381,0
640,beta,high,44.81,75.04,386,0
641,alpha,low,60.94,96.32,494,1
642,beta,low,63.03,5.45,56,0
643,alpha,high,53.77,0.15,378,1
644,alpha,high,76.9,10.06,97,1
645,beta,low,47.73,18.97,95,1
646,alpha,high,53.33,16.33,460,1
647,beta,high,52.27,60.18,184,0
648,beta,low,49.08,1.82,389,1
649,alpha,high,93.11,62.04,447,0
650,beta,high,51.53,21.93,331,1
651,alpha,medium,51.34,49.82,34,0
652,beta,high,45.89,77.1,49,1
653,beta,high,40.16,9.55,242,0
654,alpha,medium,47.99,53.6,169,1
655,alpha,medium,41.14,74.37,403,0
656,beta,medium,44.16,98.82,333,0
657,alpha,high,58.02,69.55,328,1
658,beta,low,31.72,93.91,343,0
659,beta,medium,59.47,58.95,4,1
660,alpha,low,56.56,11.4,108,0
661,alpha,medium,51.99,81.1,289,1
662,beta,low,56.62,99.37,108,0
663,beta,medium,39.67,71.39,310,0
664,alpha,medium,44.51,88.45,457,0
665,alpha,medium,46.47,73.41,398,1
666,alpha,low,76.66,61.9,97,0
667,beta,high,71.69,3.67,36,0
668,beta,high,54.58,90.98,78,0
669,alpha,low,53.16,75.11,128,0
670,beta,medium,38.11,0.96,346,0
671,beta,high,48.79,92.01,128,1
672,beta,high,37.35,61.51,99,0
673,beta,medium,62.91,59.51,436,1
674,beta,low,29.9,64.62,7,0
675,beta,high,31.7,61.32,31,0
676,beta,low,47.36,84.18,399,0
677,alpha,high,67.1,35.61,327,0
678,beta,medium,2.09,4.99,126,0
679,beta,high,57.46,27.94,82,0
680,beta,high,38.75,74.36,334,0
681,alpha,high,32.92,23.04,493,0
682,alpha,medium,44.31,80.4,154,1
683,alpha,low,26.08,23.93,63,0
684,beta,medium,39.66,30.72,241,0
685,beta,high,46.07,9.49,168,1
686,beta,medium,41.3,82.33,333,1
687,alpha,high,77.52,53.52,56,1
688,alpha,medium,71.35,71.62,158,1
689,beta,low,63.71,22.39,255,1
690,alpha,high,51.06,0.47,423,0
691,beta,low,26.41,75.08,416,1
692,alpha,low,41.32,15.51,200,0
693,beta,high,30.28,37.12,178,0
694,alpha,high,72.91,85.49,301,1
695,alpha,medium,56.29,14.25,416,1
696,alpha,high,59.66,13.7,476,1
697,beta,high,61.94,64.99,437,0
698,alpha,high,67.2,41.72,463,1
699,beta,medium,78.24,44.03,176,0
